Matrix Size,Standard Sum,OpenMP Sum,Multithraed Sum,Standard Multiplication,OpenMP Multiplication,Multithraed Multiplication,
378,225.663,60.497,937.863,134065,33282,19203.8,
379,227.904,60.817,934.983,136428,33719.9,19857.7,
380,226.944,61.778,904.254,136269,33816.9,19534.8,
381,229.184,62.418,987.797,138254,34355.9,19811.3,
382,231.425,62.097,875.767,138073,34349.8,19804.3,
383,230.465,62.098,874.806,138867,34459.3,19429.8,
384,231.745,62.098,877.367,140570,34874.4,20029,
385,235.266,63.057,907.455,141522,35088.6,20071.9,
386,235.586,63.378,906.495,142717,35745.1,20342.4,
387,237.827,63.698,958.029,143886,35735.2,20353.9,
388,237.187,63.698,921.219,144873,36125,20756.6,
389,239.428,64.338,874.486,142791,35582.2,19119.6,
390,241.988,65.298,1096.31,144601,40305.1,19688.4,
391,241.348,65.298,962.19,145649,36186.5,19361,
392,243.268,64.978,903.294,145826,36432,19495.4,
393,243.908,65.619,982.356,147908,36604.5,19816.1,
394,246.789,65.618,953.548,150653,37487.7,20922.4,
395,247.11,66.899,948.427,151317,37697.3,20811,
396,253.191,66.579,956.749,151685,37673.3,20581.1,
397,248.71,67.859,932.743,155065,39546.8,21694.4,
398,249.671,67.219,963.471,155883,38895.1,21747.6,
399,253.191,67.219,971.793,157599,39292.7,22491.1,
400,254.151,67.859,949.388,158731,40152.1,22492.7,
401,257.352,67.859,928.261,159668,40687,22770.6,
402,253.511,67.859,911.616,158242,39927.7,25763.1,
403,260.553,68.499,1061.74,159862,40308.3,21936.4,
404,256.392,71.06,941.384,162408,41079.1,22676.8,
405,257.993,69.14,934.983,163873,40932.2,23096.4,
406,261.513,71.38,914.177,165422,41331.9,23311.2,
407,263.114,70.1,990.038,166437,41593.1,23667.8,
408,262.794,70.74,950.027,166994,41697.8,23131.6,
409,263.434,71.06,1004.44,167852,41735.3,22769.9,
410,265.034,72.34,1223.7,168423,42377.4,23093.2,
411,265.674,71.06,934.663,169142,42425.7,23246.5,
412,283.92,71.7,1003.48,171460,43014.7,23982.4,
413,272.397,71.7,1040.29,172323,42882.8,23575.6,
414,269.516,72.341,1012.77,174235,43664.8,24437.9,
415,274.317,72.02,1004.76,177428,44426.9,25570.7,
416,271.437,72.66,969.553,176360,44319,24518.6,
417,273.677,73.3,1005.4,178292,44594,25029.1,
418,274.317,73.941,1006.36,178810,44773.6,24860.8,
419,277.198,74.261,979.156,181429,48227.6,25799.6,
420,282,74.901,1066.22,181772,45514.6,25683.4,
421,280.399,74.901,1043.49,183383,45952.4,25532.9,
422,280.398,75.221,991.318,184205,46417.5,25590.2,
423,282.959,75.221,1019.49,186361,46758.1,26308.2,
424,284.24,75.541,1094.71,187312,46940.2,26356.2,
425,285.52,75.541,1017.25,188758,47124.6,26555,
426,284.56,75.861,1121.92,190633,47902.1,26876.4,
427,288.081,76.502,1025.57,191356,48129.1,29107.4,
428,297.364,77.142,1037.09,192420,48425.8,32319.5,
429,292.562,78.102,1059.82,193795,48531.7,26839.2,
430,293.523,77.462,1017.89,196225,49275.9,27750.5,
431,299.924,78.422,1086.07,195964,49517,27359.4,
432,294.163,78.102,1028.45,197326,49473.8,28165.4,
433,295.763,78.102,971.473,198120,49997.7,28179.8,
434,302.165,158.124,1157.13,201675,50818.1,28893.2,
435,301.845,79.383,1121.92,202960,50879,28669.8,
436,298.644,79.702,1047.97,203290,50869.3,28085.7,
437,302.485,80.983,1046.37,206648,51603,28216.6,
438,302.485,82.904,1101.11,204917,52004.1,28898.4,
439,304.406,81.303,1051.5,206991,52338.2,29225.2,
440,305.046,80.983,1100.15,208248,52533.2,29671.1,
441,306.327,83.224,1002.52,210577,52821.9,29101.9,
442,309.527,81.623,1048.94,212042,53254.3,29729.3,
443,309.207,81.623,1112.31,213030,53695.1,30358.6,
444,311.447,83.224,1014.36,214827,54031.2,30203.1,
445,357.54,82.583,1193.3,217252,54485.4,30796.5,
446,312.087,82.903,1133.76,218084,54871.1,30625.6,
447,314.328,83.223,1071.34,219316,55286.3,30897,
448,315.609,83.864,1047.33,219775,55402.5,31117.6,
449,323.611,84.184,1112.63,222532,55661.4,31026.6,
450,318.17,84.184,995.8,224277,56389,31389.9,
451,329.372,85.784,1204.5,226172,57260.6,32324.3,
452,322.97,87.705,1133.44,227146,57155.3,32164.6,
453,324.571,85.464,1099.19,229732,57900.4,33063.7,
454,326.812,86.104,1070.06,236252,59919.9,34351.4,
455,330.012,86.425,1121.59,233427,58659.4,32841.9,
456,327.772,87.065,1132.16,234131,58952.6,33516,
457,329.373,87.384,1093.11,235276,59118.7,33499,
458,333.534,118.754,1473.37,237289,60179.2,34128,
459,331.614,88.025,1031.33,238910,60376.3,34392.1,
460,334.814,88.345,1116.15,239823,60369.9,34190.7,
461,336.095,92.506,1158.09,240784,60830.2,34135.7,
462,335.134,88.665,1105.27,243334,61454.7,34835.4,
463,338.975,88.985,1055.34,243691,61679.1,34767.9,
464,339.616,89.625,1116.15,245307,61909.6,35123.5,
465,343.777,90.266,1198.1,246984,62257.5,34976.9,
466,393.711,89.945,1116.79,248198,63182.6,35718.5,
467,342.496,92.826,1102.07,252677,63951.1,38148.6,
468,344.737,94.427,1147.84,252683,64106.4,37663.7,
469,345.057,91.546,1131.2,255793,64667.2,38284,
470,354.66,91.545,1223.06,257342,65084.9,38243.7,
471,358.501,92.506,1049.9,257813,65138.6,37666,
472,357.541,92.506,1099.83,260124,65698.8,38636.1,
473,355.62,92.826,1151.04,262296,66273,38621.1,
474,352.739,93.147,1097.91,263052,66911,39879.7,
475,358.18,94.107,1274.92,262137,66944.6,38844.2,
476,357.221,95.067,1126.08,266225,67650.1,40041.3,
477,359.781,95.387,1188.81,268585,67869.6,39747.8,
478,367.783,94.747,1175.69,269072,68327.4,39938.6,
479,362.982,95.386,1150.08,270867,68575.8,39051.6,
480,363.302,96.027,1160.65,272389,68925.3,40281.4,
481,366.183,96.347,1157.13,274454,69778.3,40711.6,
482,368.743,96.027,1039.97,275524,70114.8,41268.2,
483,368.424,98.267,1175.05,278266,70399,40165.9,
484,368.744,97.307,1136,279301,71054.2,41646,
